
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:32 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:32 SENDER-2    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:32 RECEIVER-8  ||  PACKET RECEIVED

24/09/2021 20:40:32 SENDER-4    ||  PACKET 4 SENT TO CHANNEL
24/09/2021 20:40:33 SENDER-8    ||  COLLISION
24/09/2021 20:40:33 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-6    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:33 RECEIVER-4  ||  PACKET RECEIVED

24/09/2021 20:40:33 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:33 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:33 SENDER-7    ||  COLLISION
24/09/2021 20:40:34 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-7    ||  FOUND CHANNEL BUSY
